Ref;x;y;altitud;Tramo;Cuenca;River;Plot;Aporcelaimellus_sp;Aporcelaimellus_cf_amylovorus;Aporcelaimellus_obtusicaudatus;Aporcelaimellus_macrop;Basirotyleptus_cf_ethiopicus;Chitwoodiellus_parafuscus;Chrysonema_limigenus;Clavicaudoides_clavicaudatus;Diphtherophora_cf_obesa;Dorylaimellus_sp;Dorylaimoides_limnophilus;Dorylaimus_asymphydorus;Dorylaimus_stagnalis;Dorylaimus_largo;Doryllium_gracile;Enchodelus_morgensis;Enchodelus_saxifragae;Enchodorus_sp;Epidorylaimus_consobrinus;Eudorylaimus_bombilectus;Eudorylaimus_subdigitalis;Laimydorus_pseudostagnalis;Longidorella_cf_tredecima;Longidorus_sp;Mesodorylaimus_aberrans;Mesodorylaimus_cf_aegypticus;Mesodorylaimus_cf_litoralis;Mesodorylaimus_ibericus;Mesodorylaimus_ornativulvatus;Mesodorylaimus_potus;Mesodorylaimus_cf_procerus;Mesodorylaimus_recurvus;Mesodorylaimus_sp;Nygolaimus_similis;Oxydirus_cf_loofi;Oxydirus_oxycephaloides;Oxydirus_cf_thornei;Paractinolaimus_microdentatus;Paraxonchium_carmenae;Prodorylaimus_acris;Prodorylaimus_filiarum;Crassolabium;Thornia_steatopyga;Tylencholaimus_constrictus;Tylencholaimus_proximus;Tylencholaimellus_striatus;Xiphinema_pachtaicum;Xiphinema_cf_turcicum;Acrobeles_complexus;Acrobeloides_buetschlii;Acrobeloides_setosus;Acrostichus_nudicapitatus;Cephalobus_persegnis;Chiloplacus_trilineatus;Eucephalobus_mucronatus;Mesorhabditis_sp;Mononchoides_ruffoi;Panagrolaimus_rigidus;Paroigolaimella_bernensis;Pelodera_cf_punctata;Propanagrolaimus_filiformis;Propanagrolaimus_hygrophilus;Pseudacrobeles_eurystoma;Pseudacrobeles_unguicolis;Rhabditis_sp;Stegelletina_devimucronata;clarkus_papillatus;Clarkus;Mylonchulus_sigmaturus;Mononchus_aquaticus;Mononchus_truncatus;Prionchulus_muscorum;Eumonhystera_vulgaris;Eumonhystera_pseudobulbosa;Monhystera_paludicola;Monhystera_stagnalis;Aphelenchoides_sp;Aphanolaimus_cf_aquaticus;Chronogaster_subtilis;Plectus_acuminatus;Plectus_exinocaudatus;Plectus_parietinus;Plectus_rhizophilus;Plectus_sp;Plectus_tenuis;Criconematidae;Hemicycliophora_sp;Tylenchida;Alaimus_primitivus;Ironus_sp;Ironus_tenuicaudatus;Paramphidelus_sp;Diphtherophora_cf_obesa;Prismatolaimus_intermedius;Neotobrilus_diversipapillatus;Tobrilus_sp;Tobrilus_pellucidus;Achromadora_ruricola;Achromadora_terricola;Udonchus_cf_tenuicaudatus;Mermithida;ABUNDANCIA;ABUNDANCIA POR PLACA;Riq.es botanica;UTM x;UTM y;altitud;TraMo;Cuenca;Temperatura;SpCond;DO Conc;pH;pHmV;ORP;Cond;DO %;Resistivity;Salinity;TDS;Nitratos;Fosfatos;Amonio;% Arena;% Limo;% Arcilla;Textura;materia_organica;Agr_sto;Aln_glu;Ant_aris;Ant_cau;Api_gra;Api_nod;Aru_don;Ast_squ;Bra_pho;Cal_bru;Cal_sep;Cer_glo;Cha_sp;Cha_vul;Chi_pol;Cir_pyr;Con_mac;Cra_mon;Cyn_acu;Cyn_dact;Cyp_lon;Ely_rep;Epi_hir;Epi_par;Equ_ram;Eup_cha;Flu_tin;Fra_ang;Gal_apa;Ger_pur;Ger_rot;Gly_dec;Gly_pli;Hol_lan;Hyp_cap;Hyp_und;Iri_pse;Jun_acu;Jun_art;Jun_eff;Jun_het;Jun_inf;Lin_bie;Lol_per;Lol_rig;Lyc_eur;Lym_sp;Lyt_sal;Med_pol;Men_lon;Men_pul;Men_spi;Men_sua;Mol_cae;Mon_amp;Mon_fon;Myr_alt;Ner_ole;Oen_cro;Pas_pas;Phr_aus;Pla_maj;Poa_ann;Poa_tri;Pol_lap;Pol_per;Pol_vir;Pop_alb;Pop_nig;Pot_pus;Pot_rep;Pul_pal;Ran_pel;Ran_rep;Ran_trip;Ror_nas;Ros_cor;Rub_ulm;Rum_con;Rum_cri;Rum_sp;Sal_atr;Sal_neo;Sal_pur;Sal_sal;Sci_hol;Sci_lac;Sci_mar;Sco_ver;Scr_aur;Son_aqu;Son_ole;Ste_med;Tam_afr;Tam_can;Tam_gal;Tri_rep;Tri_res;Tri_sp;Typ_ang;Typ_dom;Ulm_min;Ver_ana;Xan_spi;Xan_stu;Zan_con;Margen
32;448881;4246894;737;1;4;Rumblar;Ri 32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;34;240,99;3;448881;4246894;737;1;4;17,444;0,1402;3,976;7,742;-39,26;4;0,12;41,54;8,338;0,07;0,091;0,448704;0;0;75;12;13;Franco Arenosa;1,35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
33;448881;4247032;737;1;4;Rumblar;Ri 33;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;77,96;9;448881;4247032;737;1;4;17,514;0,134;7,29;7,81;-42,82;3;0,115;76,24;8,71;0,06;0,087;0,43824;0;0;83;5;12;Arenosa  Franca;2,85;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
34;438382;4240517;440;2;4;Rumblar;Ri 34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;92,14;7;438382;4240517;440;2;4;21,68;1,0686;8,328;7,522;-28,52;-1,4;1,001;94,92;1;0,53;0,6946;0,433008;0;0;78;5;17;Franco Arenosa;6,13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Derecha
35;438381;4240496;440;2;4;Rumblar;Ri 35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;311,87;6;438381;4240496;440;2;4;22,538;1,0694;7,896;7,836;-44,9;-1,4;1,019;91,52;0,98;0,53;0,6952;0,448704;0;0;80;0;20;Franco Arenosa;8,4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
36;427185;4222599;279;2;4;Rumblar;Ri 36;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;63,79;5;427185;4222599;279;2;4;11,906;0,3426;12,276;7,198;-11,22;0;0,257;113,76;3,89;0,16;0,223;0,49056;0;0;83;2;15;Franco Arenosa;1,51;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
37;427240;4222519;280;2;4;Rumblar;Ri 37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;70,88;7;427240;4222519;280;2;4;12,024;0,345;12,416;7,53;-28,06;0,8;0,26;115,36;3,85;0,17;0,2248;0,493176;0;0;65;15;20;Franco Arcillo Arenosa;4,34;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
38;427240;4222519;280;3;4;Rumblar;Ri 38;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;50;354,4;5;427240;4222519;280;3;4;26,082;0,4874;7,682;7,406;-22,7;-6;0,4978;94,94;2,01;0,23;0,3168;0,548112;0;0;85;0;15;Arenosa  Franca;0,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
39;424414;4212087;228;3;4;Rumblar;Ri 39;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;52;368,57;7;424414;4212087;228;3;4;26,05;0,498;8,012;7,89;-48,16;-9;0,5072;98,92;1,97;0,24;0,323;0,498408;0;0;75;5;20;Franco Arenosa;0,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Derecha
40;424414;4212087;228;3;4;Rumblar;Ri 40;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;58;411,1;7;424414;4212087;228;3;4;26,156;0,498;8,236;8,004;-54,38;-11,6;0,509;101,9;1,97;0,24;0,3234;0,545496;0;0;78;2;20;Franco Arenosa;1,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;Derecha
41;390845;4247839;563;1;5;Yeguas;Ri 41;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17;120,49;4;390845;4247839;563;1;5;13,708;0,1588;7,766;8,148;-59,46;2,8;0,1246;74,88;8,032;0,078;0,103;0,485328;0;0;82;5;13;Arenosa  Franca;2,42;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
42;390845;4247839;563;1;5;Yeguas;Ri 42;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;49,61;2;390845;4247839;563;1;5;13,708;0,1588;7,766;8,148;-59,46;2,8;0,1246;74,88;8,032;0,078;0,103;0,440856;0,1840879;0;85;5;10;Arenosa  Franca;0,75;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
43;393925;4244232;473;1;5;Yeguas;Ri 43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;85,05;4;393925;4244232;473;1;5;16,692;0,147;8,342;7,742;-39,32;0,4;0,1238;85,82;8,09;0,07;0,0956;0,443472;0,187578;0,0172392;85;3;12;Arenosa  Franca;3,18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
44;393979;4244262;470;1;5;Yeguas;Ri 44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;12;85,05;4;393979;4244262;470;1;5;18,662;0,147;8,868;7,86;-45,48;-1;0,1292;94,98;7,722;0,07;0,096;0,519336;0,1352265;0;85;5;10;Arenosa  Franca;3,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
45;394939;4231227;319;2;5;Yeguas;Ri 45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;17;120,49;7;394939;4231227;319;2;5;22,482;0,194;8,24;7,628;-34,12;-5;0,1844;95,16;5,424;0,09;0,126;0,443472;0,1442597;0;88;2;10;Arenosa  Franca;2,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Derecha
46;394916;4231108;319;2;5;Yeguas;Ri 46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;42,52;3;394916;4231108;319;2;5;22,274;0,1934;9,096;7,93;-49,62;-1,8;0,183;104,62;5,452;0,09;0,126;0,446088;0;0;88;0;12;Arenosa  Franca;1,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Derecha
47;394916;4231028;319;2;5;Yeguas;Ri 47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;17;120,49;6;394916;4231028;319;2;5;23,45;0,1944;9,528;7,842;-45,32;-5;0,1888;112,08;5,3;0,09;0,1262;0,440856;0;0;87;0;13;Arenosa  Franca;2,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Derecha
48;391410;4212591;180;3;5;Yeguas;Ri 48;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;26;184,28;8;391410;4212591;180;3;5;10,818;0,129;10,832;6,956;0,96;19,6;0,094;97,86;10,604;0,06;0,084;0,4644;0;0;85;3;12;Arenosa  Franca;2,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Derecha
49;391410;4212591;180;3;5;Yeguas;Ri 49;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;382,75;12;391410;4212591;180;3;5;10,76;0,1294;11,014;7,61;-31,78;5,6;0,094;99,36;10,614;0,06;0,084;0,480096;0,1348159;0;83;2;15;Franco Arenosa;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Derecha
50;391441;4212408;180;3;5;Yeguas;Ri 50;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;432,36;12;391441;4212408;180;3;5;10,586;0,1294;10,798;7,72;-37,26;7,6;0,094;97;10,654;0,06;0,084;0,485328;0,1389219;0;78;2;20;Franco Arenosa;0,45;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;Derecha